host id,host name,host reviews,host rating,host revenue
h8578bac5-95c5-4ea3-8474-215696ce8bd6,"Rosenbaum, Gutkowski and Wolf",54,2,118622
hc9824119-906f-4f64-ad07-83020f8d2449,Leannon Group,93,5,279254
h88286aaa-8c7e-4655-8946-f9f058373cd4,Hills - Smitham,95,2,110721
h1331ea32-3f86-4e8b-ad16-6b3d634d744f,"Marquardt, Orn and Klocko",53,1,293315
h6c848ec2-14bd-4a3e-898c-ef39e63617f7,Trantow - Hoeger,81,5,215195
h67c4f319-e3b0-4780-a37a-17c18a00eae4,Schinner LLC,91,4,472168
h53005ef7-9e02-4319-98a5-485fcd3120d5,Gutmann Inc,15,1,278789
hc0325c00-10e5-4eae-b408-debd2b616657,"Frami, Stracke and Barrows",49,1,210405
h32c27ace-23bb-45e8-aa59-9f444b3a22cd,Baumbach - Toy,54,1,130312
h35469e83-8325-4841-8507-157e460aab9f,Hudson - Dickens,83,3,143367
h254b3c88-da0b-425d-ba6e-414f022066f6,Roob - Orn,80,1,202090
h739c25ce-ac54-48dc-9b30-f9a7f22922a4,Christiansen Inc,86,5,340285
h416ac301-6984-4bcf-9db3-e39742a194fe,Kuhic - Feest,78,2,231716
h3e64a864-2bc9-4bab-ba0e-6d9fb16b4268,Heller LLC,48,1,497760
hfc06636b-0987-4400-8d3e-0854dc8173b1,"Bailey, Torp and Kiehn",43,2,177865
hbb055e14-9815-4f75-97f9-bd5334f3df86,Bernier and Sons,80,4,486589
hd66a5db6-b887-41b0-ba79-fd97dc1d2082,Mitchell Inc,66,1,324018
h4d5fe26d-845b-4fc1-8942-3ed3c693268b,Kuhlman Group,57,1,482888
h39a7381b-14d6-463f-84fe-e18034401a05,Jacobson LLC,85,5,274852
h06c9ac92-098c-413f-9077-671438cb340f,"Bernier, Doyle and Kutch",99,5,156962
h7b2e4332-8e45-4f2a-a074-d6deb0a6106f,"Dietrich, Cormier and Bruen",52,5,140131
h3c7ad642-a311-43f0-b8a6-606db2c0bab4,Hayes LLC,67,2,415739
h4e0e528d-cc49-4d0c-afd3-61a2cf7c7930,"Murray, Connelly and Schmidt",24,3,379839
hb051db8b-6dfe-4e35-8fa3-b0141656bfc2,Rice - Schneider,98,1,484971
h0dbd45e1-834f-43ec-ad87-a609631e38e2,Dibbert and Sons,48,1,498439
h2334f928-5fc5-4480-a585-d37a92cb22ae,"Dooley, Halvorson and Osinski",89,4,307011
ha77e7fcd-7b76-4970-899c-fe40694afa6b,Hintz LLC,12,5,479630
h4c2f1444-13fb-4e6c-8d47-66d902c5a55f,"Franey, Okuneva and Kilback",77,3,443129
h4f9c884c-4a60-46fe-85a4-65111edee5e1,McLaughlin LLC,19,3,168667
hae36725a-1c30-4176-b11c-661fb72c3e24,Bayer Group,48,3,498187
h3350c2d3-0a78-400d-bb19-5559abe5f665,"Kautzer, Cronin and Rogahn",31,3,223922
hcf4c35d6-88dc-4fce-a9bf-b2ea0b973c22,Rempel - Spencer,73,1,340892
h5b4231b3-b0d1-4837-96c4-a49359687f42,Stoltenberg Group,21,1,122751
hb6f38717-9de6-4a9a-a5ee-1965cf5590d5,Treutel - Mayert,91,5,314416
hbda61a2c-82c3-42ec-9522-add7b5aa1764,"Feil, Champlin and Bernhard",13,2,354871
hb82b0063-f98b-4af1-af24-18a1accd31c7,Howell - Hoppe,30,5,292642
h5a1e9b91-315d-4bed-be94-dbe3b295290e,Jones - Hane,53,5,417744
hce5c6dd6-59de-4ca7-9d8e-2b4777986485,Dickinson - Runolfsson,100,3,141813
hb2e2e8c6-0a07-4775-9eb6-af3b35f8fdab,"Witting, Pacocha and Gutkowski",86,5,388880
h79896441-ae7c-45df-9c1c-81950674a1e0,"Bayer, Adams and Jacobson",12,5,292097
h7dc0e776-4941-4d98-be55-40340023a335,Dooley - Yundt,94,5,433718
h88d98934-c489-4fa4-b4e9-8ddb15cb4dee,Conn - Kovacek,43,3,183070
h56e87603-7961-4c0b-811f-e949f27bf2fc,Johnston - Conroy,24,5,191810
hc6b85b5b-8330-474d-910b-5cd3c6b3b896,Christiansen and Sons,25,3,154041
hcfebe95b-1340-4524-b96a-1cba44f76f88,Jast - Rippin,47,1,133737
hbf2425b1-d0b1-4536-a859-be46d6e95360,Weimann LLC,57,4,226987
hf5adcd74-1e6b-4273-8951-a3544792fdb1,"Mante, Bergstrom and Brown",32,5,469190
hfe5fc21f-5379-4583-b24a-71577b491c4f,Schulist Group,53,5,103632
h140b382c-faa9-4be7-be89-bcb2acdc23ed,"Ruecker, Hamill and Okuneva",78,4,492386
hfe282e5d-3821-420c-8e61-3f87bb4ee945,Hyatt Group,87,3,440285
h6d8cca32-e6ee-45df-8251-e9f8d5ae604d,"Medhurst, Rolfson and Crooks",12,4,145173
h0623080e-bede-4350-b858-7f621382fc53,Zieme LLC,75,4,427235
h9c4f47fc-8b07-4798-b188-3fa79cb777e0,"Hyatt, Pfeffer and Kerluke",19,4,316122
h37778825-8c0f-4868-b025-a56efa3d9afd,Corwin - Ebert,100,3,151308
h9af94695-1542-4cfa-be12-94e10c54881c,Collier - Nader,26,4,190843
h0f9e4a15-7bc3-4e5e-913b-c630a9eb27d2,Weissnat - Kerluke,71,1,146670
h9d2b462b-d4c5-430a-8bf8-e30361616ef2,Heidenreich - Collins,68,4,362858
h8fd25c2e-05f2-4d91-a73c-08f927b927f7,"O'Reilly, Schmitt and Jacobi",40,3,336162
hf58ac635-5fe4-471a-8701-19d1cc1567b1,"Morar, Prohaska and Koepp",15,3,207257
h22e5244d-e1f1-40d4-9ef6-698f72cea514,Rogahn - Mante,33,4,410811
h5d73eb60-bb50-4812-a964-ce36c724a9a0,Lakin Group,43,1,448400
hfabcbd2b-9953-4bc7-ad1a-efb199eba2b7,Grady - Gibson,18,2,218762
h5f058599-8c4b-426c-bdbd-37fbeb7aeaa8,"Raynor, Lakin and Kuhn",16,2,404587
hb8239f42-af8c-4935-9fb2-2b64cfe0dd22,"Waters, Boehm and Ledner",49,4,458869
h9e58edae-09f6-4b4a-9fe6-8f3400d3d02e,"Wisoky, Kihn and Herman",22,3,381761
h5d393e06-6d35-42d7-a87a-a89378ede4a4,"Friesen, Miller and Altenwerth",39,1,281756
h7e37bb67-3282-4a05-b504-cf743ef1c978,Ferry - Hintz,36,3,321031
h46a76802-5036-437a-b875-80390d83c885,"Reichert, Paucek and Morissette",48,3,313703
ha85ae466-b58c-4511-8499-128464459ee6,Rosenbaum - Hirthe,84,3,258482
hba8cd6f2-dd48-4f85-83d1-c755ca477e72,Botsford - Jaskolski,42,2,219546
h005c38a9-d684-4c27-85b1-108402388fea,Wolf - Daugherty,44,3,352186
he09239fb-5e6d-4ebc-b20b-c5a7ca743611,"Herzog, Rodriguez and Yundt",79,3,363468
hff013f86-d6b5-431d-ab80-3a6f11d69e0b,Wunsch Inc,51,5,241451
h95654591-619c-4c2c-ba1a-3aac7e9d1f67,"Bernier, McClure and McGlynn",60,5,365392
h4b21f698-47fd-4a01-a3b3-ad99083f369d,Olson Group,67,3,402713
h1eff353a-c74a-4b6f-9886-d544f8209d87,Sipes LLC,95,4,290188
h31a2ff16-1102-4227-b166-818adb5d8b5f,Schamberger - Armstrong,40,1,362039
h0d2e417a-9303-4c4e-a1fb-4ee45cfc9089,Reynolds - Schmeler,91,5,429041
h071c61f5-83b2-4819-8356-c109f6211d2d,Spinka - Morissette,79,2,279942
h569c8529-e90a-44a8-8e24-4dddc448a63f,Streich - Collier,55,3,454542
h9d98db8d-fd9e-477b-b49b-8c72daaa123e,"Luettgen, Larson and Lesch",14,3,134057
h391d7bf1-03b4-407d-b69a-066541a33c9d,Lind - Huels,55,4,396394
h25dd1ce0-df72-463c-8191-2021c899d952,"Stehr, Corwin and Cruickshank",98,4,204197
h43cabf43-afff-4eb2-b9b8-ff7c84d97579,Halvorson and Sons,43,2,339089
h9f350e0d-571f-4d16-896e-dea6aecc5f61,Tremblay Group,69,4,248514
